"abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong"
"Lav.InAr.","Fragmentum Lavantinum in Artes Donati",,,,,,,,,,,,
"Leid.InAr.","Fragmentum Leidense in Artes Donati",,,,,,,,,,,,
"Mon.DeBarb.","Fragmentum Monacense de Barbarismo",,,,,,,,,,,,
"Par.DeIam.","Fragmentum Parisinum de Iambico Metro",,,,,,,,,,,,
"Par.DeId.","Fragmentum Parisinum de Idiomatibus Casuum",,,,,,,,,,,,
"Par.DeNom.","Fragmentum Parisinum de Nominibus in ct",,,,,,,,,,,,
"Par.DeNot.","Fragmentum Parisinum de Notis",,,,,,,,,,,,
"Par.DePrae.Verb.","Fragmentum Parisinum de Praepositionibus et Verbis",,,,,,,,,,,,
"Par.DeVerb.","Fragmentum Parisinum de Verbo",,,,,,,,,,,,
"Par.DeRhyth.","Fragmentum Parisinum de rhythmo",,,,,,,,,,,,
"San.DeEp.","Fragmentum Sangallense de Epodo Octosyllabo",,,,,,,,,,,,
"San.DeIam.","Fragmentum Sangallense de Iambico Trimetro",,,,,,,,,,,,
"San.DePent.","Fragmentum Sangallense de Pentametro",,,,,,,,,,,,
"San.DeScan.","Fragmentum Sangallense de scansione heroici versus",,,,,,,,,,,,
"San.DeSchem.","Fragmentum Sangermanense de Schematibus",,,,,,,,,,,,
"Vat.DePos.DeChria.","Fragmentum Vaticanum de positura de chria etc.",,,,,,,,,,,,
"Vin.DePed.","Fragmentum Vindobonense de Pedibus",,,,,,,,,,,,
"Weis.DeCaes.","Fragmentum Weissenburgense de Caesuris",,,,,,,,,,,,
"Autric.","Autrico",,,,,"BCE 2/1",,,,,,,
"Auson(Ps).","Ausonius, Ps.",,,,,,,,,,,,
"Fulg.-R.(Ps).","Fulgentius Ruspensis Episcopus (Ps.)",,,,,,,,,,"Y",,
"Fulg.-R(Ps).","Fulgentius Ruspensis Episcopus (Ps.)",,,,,,,,,,"Y",,
"Auson.","Ausonius (Decimus Magnus Ausonius)",,,,,"CE 4",,,,,,,
"Fulg(Ps).","Fulgentius, Ps.","Fulgentius, Ps.",,,,,,,,,"Y",,
"Rom.","Aurelius Romulus",,,,,,,,,,,,
"Gaius.","Gaius","Gaius",,,,"CE 2",,,"c. CE 161",,,,
"Aur.Op.","Aurelius Opillus",,,,,"BCE 2-1",,,,,,,
"Art.","Gaius Artorius Proculus",,,,,"BCE 1",,,,,,,
"Cap.","Gaius Ateius Capito",,,,,"BCE1/CE1","c. BCE 30","CE 22",,,,,
"Caes.","Gaius Iulius Caesar",,"Rome, Italy","Roma, Italia",,"BCE 1","BCE 100","BCE 44",,"N","N",,
"Aur.Her.","Aurelius Hermogenianus",,,,,"CE 4",,,"CE 293-310","Y",,,
"Iul.Suav.","Gaius Iulius Suavis",,,,,"CE 1",,,,,,,
"Lael.","Gaius Laelius Sapiens",,,,,"BCE 2",,,,"N","N",,
"Lic.Macer.","Gaius Licinius Macer","Licinus Macer","Rome, Italy","Roma, Italia",,"BCE 1",,,,"N","N",,
"Muc.","Gaius Licinius Mucianus","Mucianus",,,,"CE 1",,,,"N","N",,
"Lucil.","Gaius Lucilius",,"Rome, Italy","Roma, Italia",,"BCE 2",,,,"N","N",,
"Mar.-Vict(Ps).","Gaius Marius Victorinus, Ps.",,,,,,,,,,,,
"Mem.","Gaius Memmius L.f.",,,,,"BCE 1",,,,"N","N",,
"Oct.Lam.","Gaius Octavius Lampadio",,,,,"BCE 2",,,,,,,
"Fest.","Aurelianus Festivus",,,,,"CE 3",,,,,,,
"Plan.","Gaius Pompeius Planta",,,,,"CE 1",,,"c. 98-100",,,,
"Aul.Of.","Aulus Ofilius",,,,,"BCE 1",,,,,,,
"Tit.","Gaius Titius",,,,,,,,,,,,
"Maxim.","Galerius Valerius Maximianus, Gaius","Emperor Galerius",,,,"CE 3-4","c. CE 250","CE 311",,"Y","?",,
"Gan.","Gannius",,,,,,,,,,,,
"Garg.Mart(Ps).","Gargilius Martialis (Ps.)",,,,,,,,,,,,
"Calat.","Aulus Atilius Calatinus",,,,,"BCE 3",,"c. BCE 216",,,,,
"Gelas(Ps).","Gelasius I, Ps.",,,,,,,,,,"Y",,
"Gel.Fus.","Gellius Fuscus",,,,,"CE 3",,,,,,,
"Cn.Gel.","Gellius, Gnaeus",,,,,"BCE 2",,,,"N","N",,
"Gemin.","Geminus, Tanusius",,,,,"BCE 1",,,,,,,
"Aug(Ps).","Augustinus Hipponensis - Ioannes XXII (Incertus)",,,,,,,,,,"Y",,
"Aug(Ps).","Augustinus Hipponensis - Hugo de S. Victore (Incertus)",,,,,,,,,,"Y",,
"Aug(Ps).","Augustinus Hipponensis - Honorius Augustodunensis - Anselmus Cantuariensis (Incertus)",,,,,,,,,,"Y",,
"Len.","Gnaeus Cornelius Lentulus Gaetulicus",,,,,"CE 1",,,,,,,
"Marcius.","Gnaeus Marcius Vates",,,,,"BCE 3",,,"c. BCE 230","N","N",,
"Cn.Mat.","Gnaeus Matius",,,,,"BCE 2",,,,"N","N",,
"T.Cap.","Gnaeus Octavius Titinius Capito",,,,,"CE 1-2",,,,,,,
"Tremel.","Gnaeus Tremellius Scrofa",,,,,"BCE 1",,,,,,,
"Gold.","Goldastus",,,,,"CE 17","CE 1578 6 January ","CE 1635 11 August",,,,,
"Aug(Ps).","Augustinus Hipponensis - Hieronymus Stridonensis (Incertus)",,,,,,,,,,"Y",,
"Gracch.Trag.","Gracchus",,,,,"BCE 1",,,,,,,
"Gran.Fl.","Granius Flaccus",,,,,"BCE 1",,,,,,,
"Gran.Lic.","Granius Licinianus",,,,,"CE 2",,,"c. CE 117-138",,"N",,
"Grat.","Grattius Faliscus",,,,,"BCE 1-CE 1",,,,"N","N",,
"Aug(Ps)._Hier(Ps).","Augustinus Hipponensis - Hieronymus St Incertus",,,,,,,,,,,,
"Greg.","Gregorius",,,,,"CE 3",,,,,,,
"Max.-Taur(Ps).","Maximus Taurinensis Incertus",,,,,,,,,,"Y",,
"Aug(Ps).","Augustinus Hipponensis - Fulgentius Ruspensis (Incertus)",,,,,,,,,,"Y",,
"Greg.Tur.","Gregorius Turonensis","Gregory of Tours",,,,,,,,"Y","Y",,
"Aug(Ps).","Augustinus Hipponensis - Anselmus Cantuariensis (Incertus)",,,,,,,,,,"Y",,
"Greg.-T.(Ps).","Gregorius Turonensis (Incertus)",,,,,,,,,,"Y",,
"Gril.","Grillius",,,,,"CE 5",,,,,,,
"Gual.Map.","Gualteri Map O.P.","Walter Map",,,,"CE 13",,,,,,,
"Aug(Ps).","Augustinus Hipponensis (Incertus)",,,,,"CE 4",,,,,"Y",,
"Hater.","Haterianus",,,,,"CE 3",,,,,,,
"Manc.","Helvius Mancia",,"Formia, Italy","Formiae, Italia",,"BCE 1",,,,"N","N",,
"Hem.","Hemina, Lucius Cassius",,,,,"BCE 2",,,,,,,
"Hen.","Henoch",,,,,,,,,,"Y",,
"Heren.","Herennius",,,,,"BCE 1-CE 1",,,,,,,
"Hermog.","Hermogenianus","Hermogenianus","Unknown","Unknown",,"CE 3-4",,,"c. CE 339","Y",,,
"Hier.","Hieronymus","Jerome, St.",,,,,,,,,"Y",,
"Hier(Ps).","Hieronymus (Ps)",,,,,,,,,,"Y",,
"Hier(Ps).","Hieronymus (Ps.)",,,,,,,,,,"Y",,
"Aufust.","Aufustius",,,,,"BCE 1 - CE 1",,,"a. CE 10-22",,,,
"Auf.Bas.","Aufidius Bassus",,,,,"CE 1",,"c. CE 64",,,,,
"Aud.","Audax",,,,,"CE 5",,,,,,,
"AV","Auctores Varii",,,,,,,,,,"Y",,
"Frag.Alia.Serm.","Auctor Incertus",,,,,,,,,"Y","Y",,
"Sent.Piam.Int.Des.","Auctor Incertus",,,,,,,,,,,,
"Hier(Ps).","Hieronymus, Ps.","Jerome, Ps.",,,,,,,,,"Y",,
"Cass(Ps).","Cassiodorus, Flavius Magnus Aurelius (?)",,,,,,,,,,,,
"Var(Ps).","Auctor Incertus","Pseudo-Varro",,,,,,,,,,,
"DeVit.Apost.","Auctor Incertus",,,,,,,,,,"Y",,
"Hilar(Ps).","Hilarius Pictaviensis, Ps.",,,,,"CE 4",,,,"Y","Y",,
"Hist.Hen.El.","Historia Henoch et Eliae",,,,,,,,,,"Y",,
"Hom.Lat.","Homerus Latinus",,,,,"BCE 1-CE 1",,,,"N","N",,
"Pan.Const.","Auctor Incertus",,,,,,,,,,"Y",,
"Coll.2.Dec.Pont.Rom.","Auctor Incertus",,,,,,,,,,"Y",,
"Hon.Schol.","Honorius Scholasticus",,,,,"CE 6",,,,,,,
"Hon.","Honorius, Iulius",,,,,,,,,"Y",,,
"Hos.Geta.","Hosidius Geta",,"Africa","Africa Proconsularis",,"CE 2",,,,,,,
"Host.","Hostius",,,,,"BCE 2",,,,"N","N",,
"Hyg.Gr.","Hyginus Gromaticus",,,,,"CE 2",,,,,,,
"Hyg.Fab.","Hyginus, myth.",,,,,"CE 2",,,,,,,
,"Hymnus Ibericus",,,,,"CE 5",,,,,,,
"Ian. ","Ianuarius -Presbyter",,,,,"CE 5",,,,"Y","Y",,
"Vit.Marin.","Auctor Incertus",,,,,,,,,,"Y",,
"Resp.ExLib.Digest.","Auctor Incertus",,,,,,,,,,"Y",,
"DeUnct.Cap.EtDePed.Lav.","Incertus 040",,,,,,,,,,"Y",,
"Vit.Max.Taur.","Incertus 057",,,,,,,,,,"Y",,
,"Inventio et passio SS. Gervasii et Protasii",,,,,"CE 5",,,,,,,
"Ioh.-Chrysost(Ps).","Ioannes Chrysostomus (Incertus)",,,,,,,,,"Y","Y",,
"Ioh.-Diaconus.","Ioannes Diaconus",,,,,"CE 6",,,,"Y","Y",,
"Ioh.-Fecamp.","Ioannes Fiscamnensis","John of Fécamp",,,,"CE 11","CE 1028","CE 1079",,,,,
"Ioh.II.(Ps).","Ioannes II (Incertus)",,,,,,,,,,,,
"Miss.Zen.","Auctor Incertus",,,,,,,,,"Y","Y",,
"Ioan.","Ioannes Subdiaconus Incertus",,,,,,,,,,"Y",,
"Frag.Serm.Arian.","Auctor Incertus",,,,,,,,,"Y","Y",,
"Dis.Dogmat.inLact.","Auctor Incertus",,,,,,,,,,"Y",,
"Serm.Arian.","Auctor Incertus",,,,,,,,,,"Y",,
"Ioh.Ar.","Iohannes ep. Aretino",,,,,,,,,,"Y",,
"Ion.","Ionas Bobiensis",,,,,"CE 7",,,,,,,
"Iordan.","Iordanus Lemoviclensis ",,,,,,,,,"Y","Y",,
"Isaac.","Isaac Iudaeus",,,"Judaea",,,,,,,,,
"Chron.","Auctor Incertus",,,,,,,,,,"Y",,
"Hier.Trans.","Auctor Incertus",,,,,,,,,,"Y",,
"Isid(Ps).","Isidorus Hispalensis (Ps)",,,,,"CE 7",,,,,"Y",,
"Itin.Hier.","Itinerarium Hierosolymitanumäó_x008f_",,,,,,,,,,,,
"Iub.","Iuba",,,,,"CE 3",,,,,,,
"Iub.II.","Iuba II",,,,,"BCE 1-CE 1",,,,,,,
"BucEins","Auctor Incertus",,,,,"CE 1",,,"c. CE 54-68",,"N",,
"Iul.Ath.","Iulius Atherianus",,,,,,,,,,,,
"Iul.Exup.","Iulius Exuperantius",,,,,"CE 5",,,"fl.c.400","Y",,,
"Vit.Symmach.","Auctor Incertus",,,,,,,,,,"Y",,
"Iul.I.(Ps).","Iulius I (Incertus)",,,,,,,,,,"Y",,
"Mar.Iul.","Iulius Marathus",,,,,"BCE 1- CE 1",,,,,,,
"Modest.","Iulius Modestus",,,,,"CE 1",,,,"N","N",,
"Reg.Patr.","Auctor Incertus",,,,,,,,,,"Y",,
"Ord.Rom.","Auctor Incertus",,,,,,,,,,"Y",,
"Iul.Rom.","Iulius Romanus",,,,,"CE 3",,,,,,,
"Iul.Ruf.","Iulius Rufinianus ",,,,,"CE 4",,,,,,,
"Iul.Ruf(Ps.).","Iulius Rufinianus (Ps.)",,,,,,,,,,,,
"Iul.Sat.","Iulius Saturninus",,,,,,,,,,,,
"Tract.Adv.Nov.Haer.","Auctor Incertus",,,,,,,,,,"Y",,
"Iul.Sev.","Iulius Severus",,,,,,,,,,,,
"Coron.Sidon.","Auctor Incertus",,,,,,,,,,"Y",,
"Iul.Vic.","Iulius Victor",,,,,,,,,,,,
"Ordo.Monast.","Auctor Incertus",,,,,,,,,,"Y",,
"Notitia.PL69.","Auctor Incertus",,,,,,,,,,"Y",,
"Iuvc(Ps).","Iuvencus, Ps.",,,,,,,,,"Y","Y",,
"Iuvent.","Iuventius",,,,,,,,,,,,
"Iuv.Mart.","Iuventius Martialis",,,,,,,,,,,,
"Iuv.Com.","Iuventius comicus",,,,,"BCE 2",,,,,,,
"Max.Vict.","Maximus Victorinus",,,,,"CE 4",,,,,,,
"Arrun.","L. Arruntius",,,,,"BCE 1",,,"c. BCE 22",,,,
"Philol.","L. Ateius Philologus",,,,,"BCE 1",,,,,,,
"Lactant(Ps).","L. Caecilius Firmianus Lactantius (pseudo)",,,,,,,,,,,,
"Lic.Lucull.","L. Licinius Lucullus",,,,,"BCE 1",,,"c. BCE 74-66",,,,
"Libo.","L. Scribonius Libo",,,,,"BCE 1","c. BCE 90",,"c. BCE 49-34",,,,
"Lact(Ps).","Lactantius (Incertus)",,,,,,,,,,"Y",,
"Gest.Lib.","Auctor Incertus",,,,,,,,,,"Y",,
"Lael.Fel.","Laelius Felix",,,,,"CE 2",,,,"N","N",,
"Lael.Herm.","Laelius Hermas",,,,,"BCE 1",,,,,,,
"Laev.","Laevius",,,,,"BCE 2-1",,"c. BCE 80",,"N","N",,
"Lat.Ver.","Laterculus Veronensis",,,,,"BCE 3-4",,,,,,,
"Lath.","Lathcen","Laidcenn mac Buith Bannaig",,,,,,"CE 661",,,,,
"Synop.Chron.","Auctor Incertus",,,,,,,,,,"Y",,
"Laud.Eun","Laudes Eunomiae",,,,,,,,,,,,
"Reg.Tarn.","Auctor Incertus",,,,,,,,,,"Y",,
"DeProm.Praed.Dei.","Auctor Incertus",,,,,,,,,,,,
"Leg.Ang.","Leges Anglorum ",,,,,"CE 6-7","CE 560","CE 616","c. CE 589-616","Y",,,
"Leg.Vis.","Leges Visigothorum / Liber Iudiciorum",,,,,"CE 5-7",,,,"Y",,,
"LegVis.","Leges Visigothorum / Liber Iudiciorum",,,,,"CE 6",,,,"Y",,,
"Lentul.","Lentulus",,,,,,,,,"N","N",,
"Leo.Bit.","Leo Bituricensis, Victorius, Eustochius Episcopi",,,,,"CE 5",,,"~453","Y","Y",,
"Leo.-M(Ps).","Leo I Papa (Incertus)",,,,,,,,,,"Y",,
"Leo.-M(Ps).","Leo I Papa (Ps.)",,,,,,,"CE 461",,,"Y",,
"AI","Auctor Incertus",,,,,"CE 3",,,,,"Y",,
"Dissert.AdLib.","Auctor Incertus",,,,,,,,,,,,
"Lect.Prop.","Auctor Incertus",,,,,,,,,,"Y",,
"Lex.Bur.","Lex Barbara Burgundionum / Lex Gundobada",,,,,"CE 6",,,,"Y",,,
"Lex.Duo.","Lex Duodecim Tabularum",,,,,"CE 6",,,,"Y","N",,
"Lib.Nat.Mar.","Libellus de nativitate sanctae Mariae",,,,,,,,,,,,
"DeCaus.","Liber De Causis",,,,,,,,,"N","N",,
"Jan.Jam.","Liber Jannes et Jambres",,,,,,,,,,"Y",,
"Jub.","Liber Jubilaeorum",,,,,,,,,,"Y",,
"Iohannes Apostolus (Ps.)","Liber de dormitione",,,,,,,,,,,,
"DeFil.Ad.","Liber de filiabus Adae Leptogeneseos",,,,,,,,,,"Y",,
"Ev.Ps.Mat.","Liber de ortu beatae Mariae et infantia Salvatoris (Evangelium Ps.-Matthaei)",,,,,,,,,,"Y",,
"Melito (Ps.)","Liber de transitu (Mariae)",,,,,,,,,,"Y",,
"Josephus ab Arimathaea (Ps.)","Liber de transitu (Mariae)",,,,,,,,,,"Y",,
"Vit.Thais.","Auctor Incertus",,,,,,,,,,"Y",,
"Liber.&.Athan.","Liberius papa - Athanasius Alexandrinus (Incertus)",,,,,,,,,,"Y",,
"Licent.","Licentius",,,,,"CE 4-5",,,,,,,
"Summ.Lib.Sequent.","Auctor Incertus",,,,,,,,,"Y","Y",,
"Imbr.","Licinius Imbrex",,,,,"BCE 3-2",,,,"N","N",,
"Lic.Ruf.","Licinius Rufinus",,"Unknown","Unknown",,"CE 3",,,"c. CE 222-235","N","N",,
"Lin.","Lindinus Poeta",,,,,,,,,,,,
"Lin.Ep(Ps).","Linus episcopus (Ps.)",,,,,,,,,,"Y",,
"Lol.","Lollius Urbicus",,,,,"CE 2",,,,,,,
"Notitia.PL62.","Auctor Incertus",,,,,,,,,,,,
"Lucian.","Lucianus",,,,,"CE 4",,,,"Y","Y",,
"Lucil.Iun.","Lucilius Iunior",,,,,"CE 1",,,,,,,
"L.Acil.","Lucius Acilius",,,,,"BCE 2",,,,,,,
"Vit.Posthum.","Auctor Incertus",,,,,,,,,,"Y",,
"Stephanus.I.Pape(Ps).","Auctor Incertus",,,,,,,,,,"Y",,
"DeMir.Steph.","Auctor Incertus",,,,,,,,,,"Y",,
"Calp.Pis.","Lucius Calpurnius Piso Frugi",,,,,"BCE 2 ",,,,,,,
"Bocc.","Lucius Cornelius Bocchus",,,,,,,,,,,,
"Sis.","Lucius Cornelius Sisenna",,,,,"BCE 1","c. BCE 120","c. BCE 67",,"N","N",,
"Luc.I(Ps).","Lucius I (Incertus)",,,,,,,,,,"Y",,
"Luc.Man.","Lucius Manilius",,,,,"BCE 1",,,,,,,
"L.Nov.","Lucius Novius",,,,,,,,,,,,
"Nat.Aliquot.Sanct.","Auctor Incertus",,,,,,,,,,,,
"Tic.","Lucius Ticidas",,,,,,,,,,,,
"Maecian.","Lucius Volusius Maecianus",,"Alexandria, Egypt","Alexandria, Aegyptus",,"CE 2",,,"c. CE 138-161","N","N",,
"Itinerarium.","Auctor Incertus",,,,,,,,,,"Y",,
"Luran.","Luranius",,,,,"BCE 1-CE 1",,,,,,,
"Lanuv.","Luscius Lanuvinus",,,,,"BCE 3-2",,,,"N","N",,
"Act.Sebast.","Auctor Incertus",,,,,,,,,,"Y",,
"Lyg.","Lygdamus",,,,,"BCE 1-CE 1",,,,"N","N",,
"Act.Naso.","M. Actorius Naso",,,,,"BCE 1",,,,,,,
"Sev.Nic.","M. Sevius Nicanor, grammaticus",,,,,"BCE 2-1",,,,,,,
"Mac.Aeg.","Macarius Aegyptius","Macarius of Egypt / Macarius the Elder",,,,"CE 4","c. CE 300","c. CE 391",,"Y","Y",,
"Mac.Al.","Macarius Alexandrinus","Saint Macarius of Alexandria / Macarius the Younger",,,,"CE 4","c. CE 300","c. CE 395",,"Y","Y",,
"Select.Var.Lectiones.","Auctor Incertus",,,,,,,,,,"Y",,
"Labeo.","Attius Labeo",,,,,"CE 1",,,,"N","N",,
"Maeon.","Maeonius Astyanax",,,,,"CE 3",,,,,,,
"Mall.Theod.","Mallius Theodorus (Flavius Mallius Theodorus)",,,,,,"CE 4",,,,,,
"Mamert(Ps).","Mamertus, Claudianus",,,,,,,,,,"Y",,
"Man.Poet.","Manilius",,,,,,,,,,,,
"Acil.Can.","Manius Acilius Caninus",,,,,"BCE 1",,,,,,,
