Source,Target,Type,id,label,timeset,weight
15,46,Undirected,667,,,4.0
15,47,Undirected,668,,,4.0
15,48,Undirected,669,,,4.0
15,49,Undirected,670,,,4.0
15,50,Undirected,671,,,4.0
15,51,Undirected,672,,,4.0
15,52,Undirected,673,,,4.0
15,53,Undirected,674,,,4.0
15,54,Undirected,675,,,4.0
15,55,Undirected,676,,,4.0
15,56,Undirected,677,,,4.0
15,57,Undirected,678,,,4.0
15,58,Undirected,679,,,4.0
15,59,Undirected,680,,,4.0
15,60,Undirected,681,,,4.0
15,61,Undirected,682,,,4.0
15,62,Undirected,683,,,4.0
15,63,Undirected,684,,,4.0
15,64,Undirected,685,,,4.0
15,65,Undirected,686,,,4.0
15,66,Undirected,687,,,4.0
15,67,Undirected,688,,,4.0
15,68,Undirected,689,,,4.0
15,69,Undirected,690,,,4.0
15,70,Undirected,691,,,4.0
16,17,Undirected,692,,,4.0
16,18,Undirected,693,,,4.0
16,19,Undirected,694,,,4.0
16,20,Undirected,695,,,4.0
16,21,Undirected,696,,,4.0
16,22,Undirected,697,,,4.0
16,23,Undirected,698,,,4.0
16,24,Undirected,699,,,4.0
16,25,Undirected,700,,,4.0
16,26,Undirected,701,,,4.0
16,27,Undirected,702,,,4.0
16,28,Undirected,703,,,4.0
16,29,Undirected,704,,,4.0
16,30,Undirected,705,,,4.0
16,31,Undirected,706,,,4.0
16,32,Undirected,707,,,4.0
16,33,Undirected,708,,,4.0
16,34,Undirected,709,,,4.0
16,35,Undirected,710,,,4.0
16,36,Undirected,711,,,4.0
16,37,Undirected,712,,,4.0
16,38,Undirected,713,,,4.0
16,39,Undirected,714,,,4.0
16,40,Undirected,715,,,4.0
16,41,Undirected,716,,,4.0
16,42,Undirected,717,,,4.0
16,43,Undirected,718,,,4.0
16,44,Undirected,719,,,4.0
16,45,Undirected,720,,,4.0
16,46,Undirected,721,,,4.0
16,47,Undirected,722,,,4.0
16,48,Undirected,723,,,4.0
16,49,Undirected,724,,,4.0
16,50,Undirected,725,,,4.0
16,51,Undirected,726,,,4.0
16,52,Undirected,727,,,4.0
16,53,Undirected,728,,,4.0
16,54,Undirected,729,,,4.0
16,55,Undirected,730,,,4.0
16,56,Undirected,731,,,4.0
16,57,Undirected,732,,,4.0
16,58,Undirected,733,,,4.0
16,59,Undirected,734,,,4.0
16,60,Undirected,735,,,4.0
16,61,Undirected,736,,,4.0
16,62,Undirected,737,,,4.0
16,63,Undirected,738,,,4.0
16,64,Undirected,739,,,4.0
16,65,Undirected,740,,,4.0
16,66,Undirected,741,,,4.0
16,67,Undirected,742,,,4.0
16,68,Undirected,743,,,4.0
16,69,Undirected,744,,,4.0
16,70,Undirected,745,,,4.0
17,18,Directed,746,,,4.0
17,19,Undirected,747,,,4.0
17,20,Undirected,748,,,4.0
17,21,Undirected,749,,,4.0
17,22,Undirected,750,,,4.0
17,23,Undirected,751,,,4.0
17,24,Undirected,752,,,4.0
17,25,Undirected,753,,,4.0
17,26,Undirected,754,,,4.0
17,27,Undirected,755,,,4.0
17,28,Undirected,756,,,4.0
17,29,Undirected,757,,,4.0
17,30,Undirected,758,,,4.0
17,31,Undirected,759,,,4.0
17,32,Undirected,760,,,4.0
17,33,Undirected,761,,,4.0
17,34,Undirected,762,,,4.0
17,35,Undirected,763,,,4.0
17,36,Undirected,764,,,4.0
17,37,Undirected,765,,,4.0
17,38,Undirected,766,,,4.0
17,39,Undirected,767,,,4.0
17,40,Undirected,768,,,4.0
17,41,Undirected,769,,,4.0
17,42,Undirected,770,,,4.0
17,43,Undirected,771,,,4.0
17,44,Undirected,772,,,4.0
17,45,Undirected,773,,,4.0
17,46,Undirected,774,,,4.0
17,47,Undirected,775,,,4.0
17,48,Undirected,776,,,4.0
17,49,Undirected,777,,,4.0
17,50,Undirected,778,,,4.0
17,51,Undirected,779,,,4.0
17,52,Undirected,780,,,4.0
17,53,Undirected,781,,,4.0
17,54,Undirected,782,,,4.0
17,55,Undirected,783,,,4.0
17,56,Undirected,784,,,4.0
17,57,Undirected,785,,,4.0
17,58,Undirected,786,,,4.0
17,59,Undirected,787,,,4.0
17,60,Undirected,788,,,4.0
17,61,Undirected,789,,,4.0
17,62,Undirected,790,,,4.0
17,63,Undirected,791,,,4.0
17,64,Undirected,792,,,4.0
17,65,Undirected,793,,,4.0
17,66,Undirected,794,,,4.0
17,67,Undirected,795,,,4.0
17,68,Undirected,796,,,4.0
17,69,Undirected,797,,,4.0
17,70,Undirected,798,,,4.0
18,19,Undirected,799,,,4.0
18,20,Undirected,800,,,4.0
18,21,Undirected,801,,,4.0
18,22,Undirected,802,,,4.0
18,23,Undirected,803,,,4.0
18,24,Undirected,804,,,4.0
18,25,Undirected,805,,,4.0
18,26,Undirected,806,,,4.0
18,27,Undirected,807,,,4.0
18,28,Undirected,808,,,4.0
18,29,Undirected,809,,,4.0
18,30,Undirected,810,,,4.0
18,31,Undirected,811,,,4.0
18,32,Undirected,812,,,4.0
18,33,Undirected,813,,,4.0
18,34,Undirected,814,,,4.0
18,35,Undirected,815,,,4.0
